Alternative,Company Name,Mean Rank Score,Rank (Mean Rank),Borda Count Score,Rank (Borda),Copeland Score,Rank (Copeland)
IP,International Paper Company,98.16666666666667,107,365.0,107,-218.0,107
VTRS,Viatris Inc.,98.33333333333333,108,364.0,108,-220.0,108
DPZ,Domino's Pizza Inc,98.5,109,363.0,109,-222.0,109
ALLE,Allegion plc,99.83333333333333,110,355.0,110,-238.0,110
DE,Deere & Company,100.16666666666667,111,353.0,111,-242.0,111
IFF,International Flavors & Fragran,101.16666666666667,112,347.0,112,-254.0,112
XYL,Xylem Inc.,102.33333333333333,113,340.0,114,-268.0,114
EMN,Eastman Chemical Company,102.33333333333333,114,340.0,115,-268.0,115
AES,The AES Corporation,102.33333333333333,115,340.0,113,-268.0,113
DOV,Dover Corporation,102.66666666666667,116,338.0,116,-272.0,116
GDDY,GoDaddy Inc.,103.16666666666667,117,335.0,117,-278.0,117
EQR,Equity Residential,103.5,118,333.0,118,-282.0,118
WTW,Willis Towers Watson Public Lim,103.66666666666667,119,332.0,119,-284.0,119
FFIV,"F5, Inc.",103.83333333333333,120,331.0,120,-286.0,120
FSLR,"First Solar, Inc.",104.33333333333333,121,328.0,121,-292.0,121
NTAP,"NetApp, Inc.",104.5,122,327.0,122,-294.0,122
FDS,FactSet Research Systems Inc.,104.66666666666667,123,326.0,123,-296.0,123
HRL,Hormel Foods Corporation,105.5,124,321.0,124,-306.0,124
DG,Dollar General Corporation,106.83333333333333,125,313.0,125,-322.0,125
SOLV,Solventum Corporation,107.0,126,312.0,126,-324.0,126
DHI,"D.R. Horton, Inc.",107.83333333333333,127,307.0,127,-334.0,127
TTWO,"Take-Two Interactive Software, ",108.33333333333333,128,304.0,128,-340.0,128
VLO,Valero Energy Corporation,110.66666666666667,129,290.0,129,-368.0,129
VLTO,Veralto Corp,110.83333333333333,130,289.0,130,-370.0,130
FRT,Federal Realty Investment Trust,111.0,131,288.0,131,-372.0,131
UDR,"UDR, Inc.",111.16666666666667,132,287.0,132,-374.0,132
EL,"Estee Lauder Companies, Inc. (T",111.66666666666667,133,284.0,134,-380.0,134
WEC,"WEC Energy Group, Inc.",111.66666666666667,134,284.0,133,-380.0,133
PARA,Paramount Global,112.16666666666667,135,281.0,135,-386.0,135
LKQ,LKQ Corporation,113.5,136,273.0,136,-402.0,136
IQV,"IQVIA Holdings, Inc.",113.83333333333333,137,271.0,137,-406.0,137
DTE,DTE Energy Company,114.5,138,267.0,138,-414.0,138
HSIC,"Henry Schein, Inc.",116.0,139,258.0,139,-432.0,139
KMX,CarMax Inc,117.66666666666667,140,248.0,140,-452.0,140
BWA,BorgWarner Inc.,118.0,141,246.0,141,-456.0,141
BBY,"Best Buy Co., Inc.",120.16666666666667,142,233.0,142,-482.0,142
AOS,A.O. Smith Corporation,120.83333333333333,143,229.0,143,-490.0,143
WST,"West Pharmaceutical Services, I",120.83333333333333,144,229.0,144,-490.0,144
RVTY,"Revvity, Inc.",121.16666666666667,145,227.0,145,-494.0,145
EXPE,"Expedia Group, Inc.",121.66666666666667,146,224.0,146,-500.0,146
CE,Celanese Corporation,122.83333333333333,147,217.0,147,-514.0,147
IEX,IDEX Corporation,124.5,148,207.0,148,-534.0,148
JCI,Johnson Controls International ,124.83333333333333,149,205.0,149,-538.0,149
ADM,Archer-Daniels-Midland Company,125.5,150,201.0,150,-546.0,150
DXCM,"DexCom, Inc.",128.66666666666666,151,182.0,151,-584.0,151
SWK,"Stanley Black & Decker, Inc.",132.0,152,162.0,152,-624.0,152
JBHT,"J.B. Hunt Transport Services, I",133.5,153,153.0,153,-642.0,153
HII,"Huntington Ingalls Industries, ",136.16666666666666,154,137.0,154,-674.0,154
ON,ON Semiconductor Corporation,136.66666666666666,155,134.0,155,-680.0,155
BLDR,"Builders FirstSource, Inc.",137.33333333333334,156,130.0,156,-688.0,156
PFG,Principal Financial Group Inc,144.66666666666666,157,86.0,157,-776.0,157
ALB,Albemarle Corporation,144.83333333333334,158,85.0,158,-778.0,158
ENPH,"Enphase Energy, Inc.",150.5,159,51.0,159,-846.0,159
