Alternative,Company Name,Mean Rank Score,Rank (Mean Rank),Borda Count Score,Rank (Borda),Copeland Score,Rank (Copeland)
TSN,"Tyson Foods, Inc.",99.33333333333333,107,358.0,107,-232.0,107
EFX,"Equifax, Inc.",100.0,108,354.0,108,-240.0,108
GPN,Global Payments Inc.,100.16666666666667,109,353.0,109,-242.0,109
GIS,"General Mills, Inc.",101.0,110,348.0,110,-252.0,110
FRT,Federal Realty Investment Trust,101.16666666666667,111,347.0,111,-254.0,111
ESS,"Essex Property Trust, Inc.",102.16666666666667,112,341.0,112,-266.0,112
STZ,"Constellation Brands, Inc.",102.5,113,339.0,113,-270.0,113
JCI,Johnson Controls International ,103.0,114,336.0,115,-276.0,115
BAX,Baxter International Inc.,103.0,115,336.0,114,-276.0,114
UDR,"UDR, Inc.",103.66666666666667,116,332.0,116,-284.0,116
DTE,DTE Energy Company,104.66666666666667,117,326.0,117,-296.0,117
IFF,International Flavors & Fragran,105.16666666666667,118,323.0,118,-302.0,118
FDS,FactSet Research Systems Inc.,105.83333333333333,119,319.0,119,-310.0,119
LH,Labcorp Holdings Inc.,105.83333333333333,120,319.0,120,-310.0,120
DOV,Dover Corporation,106.33333333333333,121,316.0,121,-316.0,121
DE,Deere & Company,107.0,122,312.0,122,-324.0,122
TTWO,"Take-Two Interactive Software, ",107.83333333333333,123,307.0,123,-334.0,123
ALLE,Allegion plc,108.33333333333333,124,304.0,124,-340.0,124
WEC,"WEC Energy Group, Inc.",109.66666666666667,125,296.0,125,-356.0,125
HRL,Hormel Foods Corporation,110.5,126,291.0,126,-366.0,126
XYL,Xylem Inc.,111.0,127,288.0,127,-372.0,127
PARA,Paramount Global,111.16666666666667,128,287.0,128,-374.0,128
EXPE,"Expedia Group, Inc.",111.16666666666667,129,287.0,129,-374.0,129
FSLR,"First Solar, Inc.",111.83333333333333,130,283.0,130,-382.0,130
IQV,"IQVIA Holdings, Inc.",113.83333333333333,131,271.0,131,-406.0,131
AES,The AES Corporation,114.66666666666667,132,266.0,132,-416.0,132
DPZ,Domino's Pizza Inc,114.83333333333333,133,265.0,133,-418.0,133
LKQ,LKQ Corporation,115.33333333333333,134,262.0,134,-424.0,134
PPG,"PPG Industries, Inc.",117.83333333333333,135,247.0,135,-454.0,135
BBY,"Best Buy Co., Inc.",120.5,136,231.0,136,-486.0,136
SOLV,Solventum Corporation,120.5,137,231.0,137,-486.0,137
KMX,CarMax Inc,120.83333333333333,138,229.0,138,-490.0,138
BWA,BorgWarner Inc.,121.0,139,228.0,139,-492.0,139
HSIC,"Henry Schein, Inc.",121.16666666666667,140,227.0,141,-494.0,141
IEX,IDEX Corporation,121.16666666666667,141,227.0,140,-494.0,140
RVTY,"Revvity, Inc.",122.0,142,222.0,142,-504.0,142
DHI,"D.R. Horton, Inc.",122.33333333333333,143,220.0,143,-508.0,143
DG,Dollar General Corporation,123.5,144,213.0,144,-522.0,144
AOS,A.O. Smith Corporation,127.33333333333333,145,190.0,145,-568.0,145
ADM,Archer-Daniels-Midland Company,127.83333333333333,146,187.0,146,-574.0,146
DXCM,"DexCom, Inc.",127.83333333333333,147,187.0,147,-574.0,147
WST,"West Pharmaceutical Services, I",129.16666666666666,148,179.0,148,-590.0,148
SWK,"Stanley Black & Decker, Inc.",133.16666666666666,149,155.0,149,-638.0,149
JBHT,"J.B. Hunt Transport Services, I",136.33333333333334,150,136.0,150,-676.0,150
HII,"Huntington Ingalls Industries, ",137.66666666666666,151,128.0,151,-692.0,151
VLO,Valero Energy Corporation,138.33333333333334,152,124.0,152,-700.0,152
PFG,Principal Financial Group Inc,139.0,153,120.0,153,-708.0,153
CE,Celanese Corporation,139.33333333333334,154,118.0,154,-712.0,154
EL,"Estee Lauder Companies, Inc. (T",140.33333333333334,155,112.0,155,-724.0,155
ON,ON Semiconductor Corporation,141.5,156,105.0,156,-738.0,156
BLDR,"Builders FirstSource, Inc.",145.0,157,84.0,157,-780.0,157
ENPH,"Enphase Energy, Inc.",154.33333333333334,158,28.0,158,-892.0,158
ALB,Albemarle Corporation,154.66666666666666,159,26.0,159,-896.0,159
